source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,parallax_error,parallax_over_error,ruwe
1126897477422999936,158.7725122570992,75.7129084407845,13.045349671731628,4.596746,1.0989625,0.10534071,123.83958,1.2478322
4278174940241609216,275.216900828979,3.3772172029571688,13.44183342353635,4.6042542,1.0718746,0.23513658,57.166065,1.1977633
5430559333427264640,138.90254675948546,-38.569988414883134,14.135833853160019,4.6095414,1.2429264,0.057335258,246.54697,1.3268458
4155413814250528128,280.5684782616629,-9.052547091230041,16.189856938258618,4.6127195,0.5066042,0.11571088,139.91647,0.7585795
1804510069668710400,308.82744324729606,14.674266140045408,14.944074344083583,4.614309,0.17673635,0.12841983,116.368904,0.99659246
1340068730232295552,259.41750492094536,37.291766258237836,18.654592968099944,4.6189446,0.061565876,0.0848952,219.73671,0.9216836
1801210568415251072,326.0370430016283,28.74156459933625,45.15602649478613,4.6213474,0.63430834,0.1221169,369.77704,1.2343506
4684720292326084608,12.149843325439985,-74.92358725607026,15.041955373609968,4.6226683,1.5247164,0.07230506,208.03462,0.9424294
3312910967798031360,67.10991863798837,16.359757172448226,16.802952078264994,4.6231513,1.2975874,0.10376584,161.93144,1.1108434
5946685759563224960,265.0999815874886,-49.416365160249036,47.70449668181444,4.6307707,0.58799124,0.13682176,348.66162,0.89249575
2137210017510711552,297.6571013545259,52.98768832251624,16.233938751372,4.6324477,1.4041555,0.07619277,213.06404,1.0069572
2048824680109512320,296.06959462540806,37.354513389932144,11.049387851559324,4.6336026,1.099133,0.07862991,140.52399,0.92916125
517650349234855424,37.26617856169214,67.40241597303176,22.08012630862113,4.6340737,0.1186676,0.11777978,187.46959,1.0251482
664950414475977728,130.82094133479526,21.468324769393398,18.643067750090427,4.634174,0.04176998,0.18997283,98.13544,0.924225
427322415301550208,13.266856595321226,61.124725084691256,52.901729475880146,4.6359124,0.7279029,0.10367748,510.25284,1.0771353
2993876570803825664,91.53877125016398,-14.935196932716986,19.499130927571603,4.6362815,0.074855804,0.11703976,166.60262,1.0664369
6340310574387172608,222.75486678573716,-2.2997027530368577,15.136091097107776,4.6411214,1.1819739,0.21166688,71.50902,1.2523121
2667335258168556928,324.43847284374436,-7.854310194669084,18.23237478392839,4.641373,0.250216,0.13735001,132.7439,0.816484
4104122833743954304,277.2994131435603,-14.565844529321735,10.362139749349945,4.6417503,0.162364,0.13775395,75.22209,0.733929
3649422995468596480,217.04996173229358,-2.227972894104621,26.87922520891192,4.645484,0.87327194,0.12640579,212.64235,1.1225616
1637717179389828224,264.2379136853085,68.75939576611263,42.09385489970951,4.645841,0.60217667,0.14247677,295.44363,0.9330472
143652710294349696,44.69043695121501,39.662542006966284,10.443745774915273,4.6480665,0.13847303,0.097687915,106.90929,0.8288228
749214855324239232,156.47800139920705,33.79585502679851,13.464997808957971,4.6493287,0.38487577,0.12280378,109.64645,1.1204432
3504044777770340096,197.2635090052335,-23.118248890279382,14.029564151878592,4.6528893,1.1845715,0.11030273,127.191444,0.9359174
1744662586614707072,317.58562219320083,10.130905033190228,28.243304830530892,4.6535826,0.35309362,0.14803295,190.79066,1.3555261
3269362645115584640,49.841600693178854,3.3706161908023495,107.8023393880993,4.6564903,0.8589401,0.1837598,586.64813,1.3376036
624684408880100992,154.932943049452,19.469961355767943,47.12548973212048,4.6571474,0.6203766,0.16788323,280.70395,1.0965884
3587107658569000960,174.1701844290331,-9.802205106238016,10.850339849284602,4.658411,-0.056047916,0.18711062,57.988903,1.2330873
756291174721509376,158.30707896392835,40.42555422701387,29.145325300657202,4.6608243,0.30314732,0.14073011,207.10085,0.9234781
1257529526205454336,212.5996092421406,25.091411036228337,27.484029395702848,4.6620293,0.71075535,0.11717134,234.56273,1.0849708
